ts,etf_eth_flow,etf_eth_price,api_version,scope,endpoint,path,fetched_at
2025-02-13 00:00:00+00:00,12800000.0,2737.14,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-14 00:00:00+00:00,11700000.0,2674.52,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-17 00:00:00+00:00,0.0,2660.01,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-18 00:00:00+00:00,4600000.0,2742.99,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-19 00:00:00+00:00,19000000.0,2670.56,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-20 00:00:00+00:00,-13100000.0,2714.06,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-21 00:00:00+00:00,-8900000.0,2736.86,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-24 00:00:00+00:00,-78000000.0,2818.54,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-25 00:00:00+00:00,-50100000.0,2512.26,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-26 00:00:00+00:00,-94300000.0,2494.46,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-27 00:00:00+00:00,-71200000.0,2335.34,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-28 00:00:00+00:00,-41900000.0,2306.65,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-03 00:00:00+00:00,-12100000.0,2517.12,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-04 00:00:00+00:00,14600000.0,2148.21,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-05 00:00:00+00:00,-63300000.0,2170.51,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-06 00:00:00+00:00,-10000000.0,2240.44,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-07 00:00:00+00:00,-23100000.0,2201.33,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-10 00:00:00+00:00,-34000000.0,2019.34,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-11 00:00:00+00:00,-21600000.0,1864.52,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-12 00:00:00+00:00,-10300000.0,1922.6,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-13 00:00:00+00:00,-73600000.0,1907.23,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-14 00:00:00+00:00,-46900000.0,1863.75,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-17 00:00:00+00:00,-7300000.0,1885.96,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-18 00:00:00+00:00,-52800000.0,1925.36,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-19 00:00:00+00:00,-11700000.0,1930.63,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-20 00:00:00+00:00,-12500000.0,2055.22,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-21 00:00:00+00:00,-18600000.0,1982.73,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-24 00:00:00+00:00,0.0,2005.0,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-25 00:00:00+00:00,-3300000.0,2080.4,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-26 00:00:00+00:00,-5900000.0,2065.22,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-27 00:00:00+00:00,-4200000.0,2008.69,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-28 00:00:00+00:00,4700000.0,2002.8,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-03-31 00:00:00+00:00,6400000.0,1806.99,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-01 00:00:00+00:00,-3600000.0,1821.59,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-02 00:00:00+00:00,-51300000.0,1904.21,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-03 00:00:00+00:00,-3600000.0,1794.11,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-04 00:00:00+00:00,2100000.0,1816.48,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-07 00:00:00+00:00,0.0,1579.98,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-08 00:00:00+00:00,-3300000.0,1552.43,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-09 00:00:00+00:00,-11200000.0,1472.68,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-10 00:00:00+00:00,-38800000.0,1668.7,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-04-11 00:00:00+00:00,-29200000.0,1521.56,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
